Test Case,company_name,client_ref_num,output_count,test_scenario
To verify by entering a valid company name,digitap,Walnut,,
To verify by entering a  company name that is not found,HPINC,Walnut,,
To verify by entering an invalid company name.,digitap!@#$,Walnut,,
To verify by entering only special characters in the company name.,!@#$%^&(,Walnut,,
To verify by entering only numeric characters in the company name.,12345678,Walnut,,
To verify by entering only alphabetic characters in the company name.,ASDFGHJKL,Walnut,,
To verify by entering a mix of alphabetic numeric and special characters in the company name.,ASD123!@#$^^,Walnut,,
To verify by entering mixed of numeric and alpha char,12345ASDF,Walnut,,
To verify by entering mixed of alpha and special char,ASDF!@#$,Walnut,,
To verify by entering mixed of numeric and special char,12345!@#$%^,Walnut,,
To verify by entering company name is  "XXXXXXX",XXXXXXX,Walnut,,
To verify by entering company name is  "YYYYYY",YYYYYYY,Walnut,,
To verify by entering less than 3 characters for the company name.,ve,Walnut,,
To verify by entering 3 characters for the company name.,ven,Walnut,10,
To verify by entering company name as special char (.) is allowing or not.,digitap.,Walnut,,
To verify by entering company name as special char (-) is allowing or not,digi-,Walnut,10,
To verify by leaving the company name field empty.,,Walnut,,
To verify by leaving the company name field as an empty space.,  ,Walnut,,
To verify by entering the output count as a multiple of 10.,VEN,Walnut,10,
To verify by entering the output count as not a multiple of 10.,air,Walnut,101,
To verify that the output count and results count are the same.,AIR,Walnut,10,
To verify by entering a single numeric character in the  output count,digitap,Walnut,0,
To verify by entering a single alphabetic character in the  output count,digitap,Walnut,a,
To verify by entering a special character in the company  output count,digitap,Walnut,!@#,
To verify by leaving the output count field empty.,digitap,Walnut,,
To verify by leaving the output count field as an empty space.,digitap,Walnut,  ,
To verify by entering the output count as 50,venus,Walnut,50,
To verify by entering the output count as more than 51,digitap,Walnut,51,
To verify by not including the output count key in the input payload.,venus,Walnut,,
To verify by entering an valid client reference number.,digitap,Walnut,,
To verify by entering an invalid client reference number.,digitap,Walnut!@#,,
To verify by leaving the client reference number field empty.,digitap,,,
To verify by giving an empty space in the client reference number field.,digitap, ,,
To verify by giving Additional space at the front and end of the params for client ref num,digitap, walnut  ,,
To verify that only '_'  '-'  '.' characters are accepted in the client reference number.,digitap,test_-,,
To verify by entering a client reference number with more than 100 characters.,digitap,test0test0test0test0test0test0test0test0test0test0test0test0test0test0test0test0test0test0test0test0111,,
To verify by entering a client ref num as 100 char,digitap,test0test0test0test0test0test0test0test0test50000000000000000000000000000000001234567890123456782345,,
To verify test scenarios with a timeout.,digitap,Walnut,,company_to_cin_timeout
To verify by entering company name as special char (@) is allowing or not,Solutions@,Walnut,,
To verify by entering company name as special char (&) is allowing or not,L&T,Walnut,10,
To verify by entering company name start with private,Private,Walnut,10,
To verify by entering company name start with pvt,pvt,Walnut,10,
To verify by entering company name start with pvt.,pvt.,Walnut,10,
To verify by entering company name start with limited,limited,Walnut,10,
To verify by entering company name start with ltd,ltd,Walnut,10,
To verify by entering company name start with ltd.,ltd.,Walnut,10,
To verify by entering company name start with inc,inc,Walnut,10,
To verify by entering company name start with llc,llc,Walnut,10,
To verify by entering company name start with llp,llp,Walnut,10,
To verify by entering company name start with corp.,corp.,Walnut,10,
To verify by entering company name start with Corporation,Corporation,Walnut,10,
To verify by entering only special character (~) in the company name,~~~~~~~~,Walnut,10,
To verify by entering only special character (`) in the company name,```````````,Walnut,,
To verify by entering only special character (!) in the company name,!!!!!!!,Walnut,,
To verify by entering only special character (@) in the company name,@@@@@@@,Walnut,,
To verify by entering only special character (#) in the company name,########,Walnut,,
To verify by entering only special character ($) in the company name,$$$$$$,Walnut,,
To verify by entering only special character (%) in the company name,%%%%%,Walnut,,
To verify by entering only special character (^) in the company name,^^^^^^,Walnut,,
To verify by entering only special character (&) in the company name,&&&&&&&,Walnut,,
To verify by entering only special character (*) in the company name,*******,Walnut,,
To verify by entering only special character (() in the company name,(((((((,Walnut,,
To verify by entering only special character ()) in the company name,))))),Walnut,,
To verify by entering only special character (-) in the company name,--------,Walnut,,
To verify by entering only special character (_) in the company name,____,Walnut,,
To verify by entering mixed of alpha char and spcial char (~) in the company name,digitap~~~~~~,Walnut,,
To verify by entering mixed of alpha char and spcial char (!) in the company name,digitap!!!!!!,Walnut,,
To verify by entering mixed of alpha char and spcial char (#) in the company name,digitap#####,Walnut,,
To verify by entering mixed of alpha char and spcial char ($) in the company name,digitap$$$$$$,Walnut,,
To verify by entering mixed of alpha char and spcial char (%) in the company name,digitap%%%%%%,Walnut,,
To verify by entering mixed of alpha char and spcial char (^) in the company name,digitap^^^^^^,Walnut,,
To verify by entering mixed of alpha char and spcial char (*) in the company name,digitap******,Walnut,,
To verify by entering mixed of alpha char and spcial char (() in the company name,digitap((((((,Walnut,,
To verify by entering mixed of alpha char and spcial char ()) in the company name,digitap))))),Walnut,,
To verify by entering mixed of alpha char and spcial char (_) in the company name,digitap_____,Walnut,,
To verify by entering mixed of alpha char and all the spcial char (~!@#$%^&*()) in the company name,digitap~!@#$%^&*(),Walnut,,
To verify by entering multiple words as the company name.,Housing Development Finance Corporation,Walnut,,
To verify by leaving both the client reference number and company name fields empty,,,,
