Test Cases,license_number,client_ref_num,test_scenario
To verify entering valid license_number,10014042001477,FSSAI,
To verify entering invalid license_number,1001404200$$477,FSSAI,
To verify by entering an license number that is not found,22221000012345,FSSAI,
To verify entering valid registration license_number,22423050000432,FSSAI,
To verify entering valid State license_number,13319005000245,FSSAI,
To verify entering valid Central license_number,10014042001477,FSSAI,
To verify by entering less than 14 char license_number field,100140420014,FSSAI,
To verify by entering more than 14 char license_number field,10014042001477999,FSSAI,
To verify license_number field left empty,,FSSAI,
To verify license_number with empty space within, ,FSSAI,
To verify additional space at the end of the license_number,10014042001477 ,FSSAI,
To verify additional space at the beginning of the license_number, 10014042001477,FSSAI,
To verify license_number containing special characters,!@#$%^&*()!@#$,FSSAI,
To verify by entering the license_number as mixed of all numeric alpha and special char,1234asdfffffgggg!@#$,FSSAI,
To verify license_number with only alphabetic characters,ASDFGHJKLASD,FSSAI,
To verify entering license_number for case 101,22421580000652,FSSAI,
To verify entering license_number for case 103,32421580000652,FSSAI,
To verify if the company_name key appears in the API response,21319187000983,FSSAI,
To verify if the address key appears in the API response,21523075001217,FSSAI,
To verify that the input license number and the output license number in the API response are the same.,21523075001217,FSSAI,
To verify if the vehicle validity_status key appears in the API response,21523075001217,FSSAI,
To verify if the vehicle products_sold key appears in the API response,10014042001477,FSSAI,
To verify changing the FSSAI key to an invalid name,13624003000155,FSSAI,
To verify using a different API payload for the FSAAI number API,11523997000090,FSSAI,
To verify by entering valid client reference number,22221091000093,FSSAI,
To verify by entering entry of an invalid client reference number.,10020021005512,FSSAI!@#$,
To verify by entering client reference number field left empty.,12414030000546,,
To verify by entering client reference number entry with empty space.,22414030000546, ,
To verify by entering client reference number with additional spaces at the beginning,22414030000546, FSSAI,
To verify by entering client reference number with additional spaces at the end.,22414030000546,FSSAI ,
To verify by entering only "_"  "-" and "." are accepted in the client reference number.,22418545000561,FSSAI_-.,
To verify by enetring client key as invalid name,22418545000561,FSSAI,
To verify by entering client reference number with more than 45 characters.,22418545000561,FSSAIFFSSAIFSSAIFSSAIFSSAIFSSAIFSSAIFSSAISSAIFSSAI,
To verify by entering client reference number with exactly 45 characters.,22418545000561,FSSAIFSSAIFSSAIFSSAIFSSAIFSSAIFSSAIFSSAIFSSAI,
To verify by entering both client reference number and license_number fields left empty.,,,
To verify by entering the test Scenarios with timeout,22418545000561,FSSAI,timeout
